date,avg_monthly_price,price,year,month,month_name,quarter,season,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,diff_1,sin_month,cos_month,weight
2017-08-01,6844,8.83127373772255,2017,8,Aug,3,Monsoon,8.85907931788153,8.88016824790345,8.910990494656719,9.041211408968211,8.8834126868139,0.026107228049431518,-0.027805580158981158,-0.8660254037844385,-0.5000000000000004,0.09071795328941251
2017-09-01,7163,8.876823763180603,2017,9,Sep,3,Monsoon,8.83127373772255,8.85907931788153,8.88016824790345,9.081824949740755,8.85684043450251,0.024524023539000482,0.04555002545805387,-1.0,-1.8369701987210297e-16,0.09071795328941251
2017-10-01,7188,8.880307358983872,2017,10,Oct,4,Post-Monsoon,8.876823763180603,8.83127373772255,8.85907931788153,9.13755460225053,8.85572560626156,0.02295945863963257,0.0034835958032690684,-0.8660254037844386,0.5000000000000001,0.09071795328941251
2017-11-01,7013,8.855663430700124,2017,11,Nov,4,Post-Monsoon,8.880307358983872,8.876823763180603,8.83127373772255,9.091106284052485,8.86280161996234,0.027359447706783665,-0.02464392828374784,-0.5000000000000004,0.8660254037844384,0.09071795328941251
2017-12-01,6800,8.824824939175638,2017,12,Dec,4,Winter,8.855663430700124,8.880307358983872,8.876823763180603,9.028578658440741,8.870931517621534,0.013336780668721791,-0.030838491524486145,-2.4492935982947064e-16,1.0,0.09071795328941251
2018-01-01,6763,8.81936971001847,2018,1,Jan,1,Winter,8.824824939175638,8.855663430700124,8.880307358983872,8.986571625268054,8.853598576286545,0.027798784950990394,-0.005455229157167452,0.49999999999999994,0.8660254037844387,0.1224564282529819
2018-02-01,6550,8.787372988731876,2018,2,Feb,1,Winter,8.81936971001847,8.824824939175638,8.855663430700124,8.952346543226227,8.833286026631411,0.019570412385146705,-0.031996721286594365,0.8660254037844386,0.5000000000000001,0.1224564282529819
2018-03-01,6500,8.77971129020447,2018,3,Mar,1,Summer,8.787372988731876,8.81936971001847,8.824824939175638,8.951569643018821,8.81052254597533,0.02023280459325931,-0.007661698527407168,1.0,6.123233995736766e-17,0.1224564282529819
2018-04-01,6362,8.758255243232792,2018,4,Apr,2,Summer,8.77971129020447,8.787372988731876,8.81936971001847,8.929435283803425,8.795484662984938,0.021036801323396366,-0.021456046971676912,0.8660254037844387,-0.4999999999999998,0.1224564282529819
2018-05-01,6487,8.77770959579525,2018,5,May,2,Summer,8.758255243232792,8.77971129020447,8.787372988731876,8.910990494656719,8.77511317405638,0.015093633751138157,0.01945435256245709,0.49999999999999994,-0.8660254037844387,0.1224564282529819
2018-06-01,6362,8.758255243232792,2018,6,Jun,2,Monsoon,8.77770959579525,8.758255243232792,8.77971129020447,8.88016824790345,8.771892043077505,0.01185214865005726,-0.01945435256245709,1.2246467991473532e-16,-1.0,0.1224564282529819
2018-07-01,7550,8.929435283803425,2018,7,Jul,3,Monsoon,8.758255243232792,8.77770959579525,8.758255243232792,8.85907931788153,8.76474002742028,0.011231975688502729,0.17118004057063274,-0.4999999999999997,-0.8660254037844388,0.1224564282529819
2018-08-01,7200,8.881975184248867,2018,8,Aug,3,Monsoon,8.929435283803425,8.758255243232792,8.77770959579525,8.83127373772255,8.821800040943822,0.09372100664997385,-0.047460099554557544,-0.8660254037844385,-0.5000000000000004,0.1224564282529819
2018-09-01,7200,8.881975184248867,2018,9,Sep,3,Monsoon,8.881975184248867,8.929435283803425,8.758255243232792,8.876823763180603,8.856555237095028,0.08837579904823523,0.0,-1.0,-1.8369701987210297e-16,0.1224564282529819
2018-10-01,7200,8.881975184248867,2018,10,Oct,4,Post-Monsoon,8.881975184248867,8.881975184248867,8.929435283803425,8.880307358983872,8.89779521743372,0.02740110125352728,0.0,-0.8660254037844386,0.5000000000000001,0.1224564282529819
2018-11-01,6850,8.832149906002899,2018,11,Nov,4,Post-Monsoon,8.881975184248867,8.881975184248867,8.881975184248867,8.855663430700124,8.881975184248867,0.0,-0.04982527824596872,-0.5000000000000004,0.8660254037844384,0.1224564282529819
2018-12-01,6725,8.813735892300215,2018,12,Dec,4,Winter,8.832149906002899,8.881975184248867,8.881975184248867,8.824824939175638,8.865366758166878,0.0287666378077583,-0.018414013702683363,-2.4492935982947064e-16,1.0,0.1224564282529819
2019-01-01,6800,8.824824939175638,2019,1,Jan,1,Winter,8.813735892300215,8.832149906002899,8.881975184248867,8.81936971001847,8.842620327517329,0.035304001705625365,0.011089046875422781,0.49999999999999994,0.8660254037844387,0.16529888822158656
2019-02-01,7075,8.864464055279676,2019,2,Feb,1,Winter,8.824824939175638,8.813735892300215,8.832149906002899,8.787372988731876,8.823570245826252,0.009270904309267976,0.0396391161040377,0.8660254037844386,0.5000000000000001,0.16529888822158656
2019-03-01,7850,8.968396191198256,2019,3,Mar,1,Summer,8.864464055279676,8.824824939175638,8.813735892300215,8.77971129020447,8.83434162891851,0.02666949882477009,0.10393213591857986,1.0,6.123233995736766e-17,0.16529888822158656
2019-04-01,7725,8.952346543226227,2019,4,Apr,2,Summer,8.968396191198256,8.864464055279676,8.824824939175638,8.758255243232792,8.885895061884524,0.07414608644364375,-0.01604964797202868,0.8660254037844387,-0.4999999999999998,0.16529888822158656
2019-05-01,7581,8.93353229607628,2019,5,May,2,Summer,8.952346543226227,8.968396191198256,8.864464055279676,8.77770959579525,8.928402263234718,0.05595059094757825,-0.018814247149947505,0.49999999999999994,-0.8660254037844387,0.16529888822158656
2019-06-01,7488,8.921190556249368,2019,6,Jun,2,Monsoon,8.93353229607628,8.952346543226227,8.968396191198256,8.758255243232792,8.95142501016692,0.017450206679388663,-0.01234173982691189,1.2246467991473532e-16,-1.0,0.16529888822158656
2019-07-01,7556,8.93022956502072,2019,7,Jul,3,Monsoon,8.921190556249368,8.93353229607628,8.952346543226227,8.929435283803425,8.935689798517293,0.015689646067156702,0.009039008771352997,-0.4999999999999997,-0.8660254037844388,0.16529888822158656
2019-08-01,8138,9.004422601327041,2019,8,Aug,3,Monsoon,8.93022956502072,8.921190556249368,8.93353229607628,8.881975184248867,8.92831747244879,0.006389186880301237,0.07419303630632079,-0.8660254037844385,-0.5000000000000004,0.16529888822158656
2019-09-01,8588,9.058237593766226,2019,9,Sep,3,Monsoon,9.004422601327041,8.93022956502072,8.921190556249368,8.881975184248867,8.951947574199044,0.04566888737373571,0.053814992439184195,-1.0,-1.8369701987210297e-16,0.16529888822158656
2019-10-01,9075,9.113388845899733,2019,10,Oct,4,Post-Monsoon,9.058237593766226,9.004422601327041,8.93022956502072,8.881975184248867,8.997629920037996,0.06427378349799928,0.055151252133507356,-0.8660254037844386,0.5000000000000001,0.16529888822158656
